Feature,Mean Abs SHAP
Contract,0.8318028587743811
InternetService,0.49196691496587863
tenure,0.3488571068806405
MonthlyCharges,0.2422724215908789
PaymentMethod,0.19749968836765067
TotalCharges,0.17820920159212827
PaperlessBilling,0.12337144592078221
StreamingMovies,0.0982854855943865
OnlineSecurity,0.09691099011398567
StreamingTV,0.08718871807587174
Dependents,0.04381124754150281
TechSupport,0.0437166056829566
SeniorCitizen,0.022606420363722766
MultipleLines,0.02237080145285374
OnlineBackup,0.015652964216520536
DeviceProtection,0.004502723211270483
Partner,0.0019675810358274087
