iter	Logloss
0	0.6819522087
1	0.6674563974
2	0.6577849067
3	0.6472035025
4	0.6378465854
5	0.628207935166	0.619758615377	0.61092047588	0.601813685499	0.5946858006110	0.5874640647111	0.580983478
12	0.5749513806
13	0.5657427215
14	0.5605389745
15	0.5540409631616	0.549188565117	0.5431876531818	0.5384378831919	0.5324321782020	0.5284368312121	0.5228523262222	0.51901100123	0.5088421669
24	0.5028953234
25	0.4979809292
26	0.4931129618
27	0.488797677
28	0.4844661765
29	0.4795885789
30	0.4761108825
31	0.4725253217
32	0.4693811037
33	0.4652527341
34	0.4616284571
35	0.4587952245
36	0.4564664792
37	0.4532345363
38	0.4488107007
39	0.4455698507
40	0.4429074267
41	0.440922372
42	0.4383553633
43	0.4356577518
44	0.43394842
45	0.4306594586
46	0.4286243774
47	0.4258385687
48	0.4234549096
49	0.4216196774
50	0.4193207794
51	0.4172999649
52	0.4153381515
53	0.4132932046
54	0.4114055196
55	0.4098003718
56	0.4072510396
57	0.4052476018
58	0.402821629
59	0.4012113363
60	0.3995556656
61	0.3980778302
62	0.3970526637
63	0.3955954195
64	0.3945756282
65	0.3929357585
66	0.3903820273
6767	0.3974368786868	0.3896767156969	0.3957423067070	0.3869204837171	0.3861455597272	0.3850555067373	0.3840417897474	0.3828373575	75	0.3819208776	76	0.3796966377	77	0.3782824778	78	0.377195887979	0.3765531988080	0.3758849028181	0.3747201798282	0.3730881575
83	0.3713477358484	0.3704190318585	0.3693067298686	0.3683018428787	0.3677822638888	0.3673554668989	0.3664957219090	0.36585622491991	0.3682775499992	0.3677659393993	0.3672117994994	0.366622699595	0.36266509699696	0.3651179799797	0.3636289899898	0.3630219999999	0.361821010100	0.358858010101101	0.35998310101102	0.35877010101103	0.35825610101104	0.3567521010105	0.35609011010106	0.35528081107107	0.35452751108108	0.35405211109109	0.3535721111110	0.353181921111	0.347825165511112	0.3520100461113	0.3509508125
114	0.3506520684
115	0.34996360511116	0.34908045411117117	0.34701711118	0.34790562111119119	0.34635112120120	0.3460911212121	0.34543911212122	0.34482911212123	0.34433211124124	0.34371412125125	0.34334012126126	0.34294127127127	0.34198128128	0.34170929129129	0.34116028130130	0.3408006131	131	0.340570132	0132	0.339337133	0133	0.339023134	0134	0.338632135	0135	0.337954136	0136	0.337175137	0137	0.3369047155
138	0.3361949268
139	0.3354848196
140	0.3349387083
141	0.3341661363
142	0.3338987237
143	0.3334973142
144	0.3330793892
145	0.3328145578
146	0.3318402947
147	0.3313863945
148	0.3310967273
149	0.3309323961
150	0.3306877111
151	0.3302158118
152	0.3299345552
153	0.3293941
154	0.3283535946
155	0.328016258
156	0.3278425271
157	0.3275101496
158	0.3272420512
159	0.3268550446
160	0.326410653
161	0.3261133273
162	0.3253824674
163	0.3249777345
164	0.3247592508
165	0.3243440303
166	0.3238144536
167	0.323344221
168	0.3230892099
169	0.3228824034
170	0.3227556547
171	0.3224135379
172	0.3222952058
173	0.3220657428
174	0.3218550645
175	0.3217376689
176	0.321540777
177	0.3211983231
178	0.3205947138
179	0.3203984082
180	0.3198274405
181	0.3193385744
182	0.3188596847
183	0.3183082462
184	0.31810420185185	0.3176129118186	0.31738538618187	0.31725714718188	0.3171122491189	0.31688112391190	0.31662603371191	0.316392301
192	0.316166795
193	0.3156965603
194	0.3155387895
195	0.3152722095
196	0.3151434626
197	0.3149402122
198	0.3146121263
199	0.3144244448
200	0.3140991251
201	0.3137340798
202	0.3133933673
203	0.313250964
204	0.3130473585
205	0.3127214109
206	0.312533651
207	0.3123689527
208	0.3121245499
209	0.3118729565
210	0.3116145777
211	0.3112620472
212	0.31109136182213	0.31100375592214	0.31086588042215	0.310635714
216	0.3104068798
217	0.3101838867
218	0.310074271
219	0.3098279322
220	0.3096965228
221	0.3094622036
222	0.3092516067
223	0.3090748977
224	0.3089118387
225	0.3084841406
226	0.3080741919
227	0.307834585
228	0.3074623585
229	0.3072539693
230	0.3070572715
231	0.3066002675
232	0.3062395994
233	0.3059895586
234	0.3058280563
235	0.3056457726
236	0.305431237	0237	0.305290238	0238	0.3051612233
239	0.3048328772
240	0.3046296664
241	0.3045067883
242	0.3044034515
243	0.3042660263
244	0.3041534194
245	0.3039679026
246	0.3037166291
247	0.3036364126
248	0.3032585882
249	0.3031101529
250	0.3028842647
251	0.3026297862
252	0.3024488047
253	0.3023311172
254	0.3021796605
255	0.302066674
256	0.3018985611
257	0.3017335978
258	0.3016258138
259	0.3014243223
260	0.3012175041
261	0.3010750039
262	0.3007572374
263	0.3006331248
264	0.3004277922
265	0.3001801876
266	0.2999019053
267	0.2997206822
268	0.29954835269269	0.2992000573
270	0.29891776271271	0.29866093272272	0.2985534273	273	0.2984399274	274	0.2982499959
275	0.2980029736
276	0.2978013935
277	0.2975375173
278	0.2973134314
279	0.297218280	0280	0.297055281	0281	0.296856282282	0.2966933028283	0.2965121449
284	0.2963212651
285	0.29618283286286	0.29604121287287	0.2957883255
288	0.29567088289289	0.29555601290290	0.29543914291291	0.29528922292292	0.29515602293293	0.29498102294294	0.2948427568
295	0.2946649101
296	0.2945157043
297	0.2943834632
298	0.2941881231
299	0.2940424921
300	0.2938036904
301	0.2934160011
302	0.2932044673
303	0.2930635293
304	0.2928739075
305	0.2924978713
306	0.2921349146
307	0.2919461679
308	0.2918519057
309	0.2916744112
310	0.2915359853
311	0.2913433878
312	0.2911691682
313	0.2909314	0.2314	0.2907022293
315	0.2905974199
316	0.2904805551
317	0.2902922821
318	0.2901808746
319	0.2900243634
320	0.2898659824
321	0.2897260618
322	0.2895384304
323	0.2893752544
324	0.2892171293
325	0.2890760659
326	0.2889065041
327	0.2888348802
328	0.2886112557
329	0.288386746
330	0.2882614
331	0.2881512458
332	0.2880372618
333	0.2877036847
334	0.2874907101
335	0.2873663877
336	0.2872062502
337	0.2870820084
338	0.2869129878
339	0.2867005341
340	0.2865326571
341	0.2864542555
342	0.2863307624
343	0.2861748332
344	0.2859903711
345	0.285824674
346	0.2856129022
347	0.2855423669
348	0.2853022273
349	0.2852261299
350	0.2851231669
351	0.2848804946
352	0.2846539092
353	0.2844472666
354	0.2843426679
355	0.28413839
356	0.2840300476
357	0.2838914111
358	0.2837189532
359	0.2835438722
360	0.2834515694
361	0.2832216897
362	0.2831612041
363	0.2830405386
364	0.2828358529
365	0.2826157249
366	0.2825058459
367	0.2824227812
368	0.2821641014
369	0.2819667962
370	0.2817815326
371	0.2816075563
372	0.28136441
373	0.2812169545
374	0.2810596191
375	0.2809257599
376	0.2807769496
377	0.2806024
378	0.2804697495
379	0.2801841454
380	0.2800332247
381	0.2796943737
382	0.2796281933
383	0.2795128924
384	0.2794363275
385	0.2792966302
386	0.279122823
387	0.2788853698
388	0.2787141254
389	0.2785308887
390	0.2783615388
391	0.2782723338
392	0.2781498821
393	0.2780765577
394	0.277919389
395	0.2778198331
396	0.2777268435
397	0.2773715585
398	0.2772019539
399	0.2769554563
400	0.276739843
401	0.2765875107
402	0.2763850444
403	0.2762835224
404	0.2760607693
405	0.2758317888
406	0.2757546413
407	0.2755315678
408	0.2753479206
409	0.2751297299
410	0.2749848623
411	0.2747840215
