iter	Passed	Remaining
0	220	220469
1	267	133599
2	312	10393233	360	8983744	410	8163655	458	7596466	501	7117077	547	6794088	588	6483299	626	62064110	666	59928111	701	57789112	739	56133113	781	55016114	818	53741115	860	52902116	905	52381117	945	51566118	993	51296119	1034	50682020	1070	49902121	1116	49642222	1164	494823	1205	49038
24	1241	48433
25	1282	48035
26	1331	47974
27	1371	47617
28	1414	47359
29	1454	47021
30	1500	46893
31	1544	46713
32	1585	46470
33	1623	46137
34	1663	45875
35	1714	45912
36	1763	45905
37	1810	45844
38	1852	45636
39	1896	45504
40	1938	45334
41	1987	45331
42	2034	45279
43	2089	45401
44	2134	45294
45	2166	44932
46	2214	44901
47	2251	44644
48	2289	44435
49	2327	44222
50	2370	44117
51	2411	43972
52	2445	43698
53	2482	43494
54	2517	43259
55	2562	43196
56	2599	42998
57	2638	42847
58	2672	42627
59	2702	42342
60	2738	42159
61	2778	42040
62	2815	41874
63	2867	41942
64	2905	41800
65	2949	41745
66	2988	41622
6767	3031	41546868	3077	41526969	3114	41377070	3174	41537171	3223	41557272	3277	41627373	3343	41847474	3409	42057575	3477	42287676	3539	42427777	3587	42407878	3643	42477979	3700	42558080	3746	42518181	3793	42468282	3842	42457
83	3907	42618484	3960	42638585	4016	42698686	4078	42808787	4129	42798888	4172	42718989	4216	42639090	4262	42579191	4281	42269292	4334	42279393	4376	42189494	4429	42199595	4512	42499696	4511	41999797	4594	42299898	4667	42479999	4717	424510100	4800	427210101	4809	423410102	4853	422610103	4900	422110104	4945	421510105	4985	420410106	5021	419010107	5069	418710108	5114	418010109	5155	417111110	5199	416411111	5274	418211112	5288	415111113	5339	415011114	5385	414411115	5423	413211116	5461	412211117	5543	414311118	5553	411111119	5633	413112120	5680	412612121	5722	411812122	5762	410812123	5810	410412124	5855	409812125	5897	409012126	5950	409012127	6003	409012128	6019	406412129	6067	406013130	6109	405313131	6152	404513132	6197	404013133	6242	40344
134	6285	40271
135	6333	40233
136	6378	40177
137	6426	40140
138	6473	40097
139	6513	40010
140	6553	39924
141	6597	39862
142	6636	39770
143	6675	39683
144	6711	39577
145	6749	39482
146	6788	39389
147	6834	39342
148	6885	39323
149	6927	39257
150	6974	39214
151	7011	39118
152	7056	39065
153	7113	39079
154	7165	39066
155	7205	38982
156	7249	38926
157	7301	38912
158	7343	38840
159	7391	38802
160	7433	38738
161	7472	38656
162	7521	38624
163	7581	38646
164	7629	38610
165	7679	38581
166	7718	38499
167	7765	38458
168	7804	38374
169	7844	38300
170	7882	38212
171	7922	38139
172	7960	38052
173	8003	37992
174	8050	37951
175	8095	37902
176	8137	37835
177	8177	377617178	8222	377117179	8274	37693
180	8313	37619
181	8353	37545
182	8398	37495
183	8438	37424
184	8476	37341
185	8518	37281
186	8555	37195
187	8602	37153
188	8651	37124
189	8688	37040
190	8722	36946
191	8767	36897
192	8807	36825
193	8845	36749
194	8880	36658
195	8917	36580
196	8958	36517
197	9001	36460
198	9051	36431
199	9088	36353
200	9125	36276
201	9169	36225
202	9214	36175
203	9262	36143
204	9309	36102
205	9349	36035
206	9382	35941
207	9422	35876
208	9457	35795
209	9498	35733
210	9535	35655
211	9567	35563
212	9608	35501
213	9655	35463
214	9693	35393
215	9735	35336
216	9773	35267
217	9811	35193
218	9851	35132
219	9889	35061
220	9923	34979
221	9968	34936
222	10014	34893
223	10053	34826
224	10094	34770
225	10139	34723
226	10178	34661
227	10218	34598
228	10256	34530
229	10295	34468
230	10331	34394
231	10369	34325
232	10407	34258
233	10451	34213
234	10496	34169
235	10529	34087
236	10569	340272237	10604	339532238	10649	33910
239	10687	33844
240	10728	33786
241	10764	33717
242	10802	33651
243	10843	33595
244	10884	33542
245	10933	33511
246	10972	33449
247	11018	33412
248	11068	33382
249	11103	33311
250	11144	33256
251	11181	33190
252	11217	33119
253	11256	33060
254	11291	32989
255	11329	32927
256	11371	32875
257	11420	32845
258	11460	32787
259	11501	32735
260	11539	32674
261	11577	32612
262	11615	32549
263	11650	32478
264	11690	32424
265	11729	32366
266	11767	32304
267	11808	32253
268	11844	32187
269	11892	32152
270	11923	32074
271	11965	32024
272	12006	31974
273	12046	31919
274	12089	31872
275	12129	31818
276	12169	31764
277	12211	31714
278	12251	31659
279	12281	31580
280	12319	31522
281	12359	31468
282	12399	31415
283	12442	31369
284	12489	31332
285	12527	31275
286	12568	31222
287	12613	31182
288	12646	31112
289	12681	31047
290	12723	31000
291	12762	30943
292	12804	30897
293	12845	30847
294	12894	30814
295	12936	30767
296	12986	30739
297	13028	30691
298	13074	30653
299	13117	30608
300	13153	30546
301	13191	30488
302	13237	30449
303	13274	30391
304	13313	30338
305	13346	30270
306	13385	30214
307	13421	30153
308	13461	30103
309	13506	30063
310	13549	30018
311	13587	29962
312	13622	29900
313	13664	29854
314	13709	29813
315	13750	29763
316	13786	29704
317	13824	29648
318	13859	29587
319	13893	29523
320	13926	29459
321	13966	29407
322	14014	29373
323	14055	29324
324	14097	29278
325	14135	29224
326	14175	29173
327	14210	29114
328	14254	29071
329	14340	29115
330	14412	29129
331	14454	29082
332	14492	29028
333	14525	28963
334	14566	28915
335	14602	28857
336	14642	28806
337	14680	28752
338	14714	28692
339	14756	28644
340	14791	28585
341	14825	28524
342	14862	28467
343	14902	28419
344	14943	28371
345	14979	28314
346	15016	28258
347	15053	28202
348	15098	28163
349	15136	28111
350	15172	28053
351	15211	28003
352	15250	27951
353	15284	27891
354	15318	27831
355	15350	27768
356	15383	27706
357	15414	27642
358	15455	27595
359	15488	27534
360	15519	27471
361	15553	27412
362	15587	27353
363	15619	27291
364	15659	27242
365	15685	27170
366	15718	27111
367	15755	27057
368	15791	27003
369	15821	26939
370	15864	26896
371	15899	26840
372	15933	26784
373	15968	26727
374	16005	26675
375	16040	26620
376	16070	26557
377	16107	26505
378	16142	26449
379	16179	26397
380	16213	26342
381	16248	26287
382	16278	26224
383	16311	26165
384	16336	26095
385	16365	26031
386	16401	25980
387	16431	25917
388	16453	25842
389	16492	25796
390	16520	25731
391	16553	25674
392	16585	25616
393	16616	25557
394	16651	25503
395	16682	25445
396	16717	25391
397	16754	25341
398	16784	25282
399	16816	25225
400	16854	25176
401	16888	25123
402	16924	25071
403	16958	25017
404	16987	24957
405	17017	24897
406	17054	24849
407	17083	24787
408	17114	24729
409	17147	24676
410	17181	24622
411	17211	24563
412	17239	24502
413	17277	24455
414	17310	24402
415	17337	24339
416	17366	24279
417	17398	24224
418	17429	24168
419	17462	24114
420	17494	24060
421	17528	24008
422	17568	23964
423	17605	23917
424	17652	23882
425	17682	23826
426	17717	23776
427	17752	23725
428	17786	23673
429	17823	23626
430	17853	23569
431	17890	23522
432	17922	23469
433	17959	23422
434	17997	23376
435	18039	23335
436	18068	23278
437	18100	23224
438	18132	23171
439	18168	23123
440	18206	23078
441	18239	23026
442	18276	22979
443	18310	22929
444	18346	22881
445	18381	22832
446	18413	22780
447	18457	22742
448	18495	22697
449	18537	22656
450	18579	22616
451	18620	22575
452	18657	22529
453	18688	22475
454	18725	22429
455	18766	22387
456	18807	22346
457	18843	22299
458	18877	22249
459	18914	22204
460	18958	22165
461	19005	22132
462	19049	22093
463	19092	22055
464	19133	22013
465	19171	21969
466	19210	21925
467	19243	21875
468	19282	21831
469	19318	21784
470	19350	21732
471	19394	21696
472	19431	21650
473	19468	21604
474	19506	21559
475	19555	21527
476	19599	21489
477	19632	21439
478	19671	21396
479	19715	21358
480	19753	21313
481	19794	21272
482	19824	21220
483	19857	21170
484	19899	21130
485	19937	21085
486	19977	21043
487	20012	20997
488	20059	20961
489	20099	20919
490	20134	20872
491	20174	20830
492	20211	20785
493	20244	20736
494	20279	20689
495	20320	20648
496	20353	20599
497	20391	20555
498	20423	20505
499	20459	20459
500	20499	20417
501	20540	20377
502	20579	20333
503	20612	20285
504	20657	20248
505	20694	20204
506	20733	20161
507	20781	20126
508	20813	20077
509	20853	20035
510	20888	19988
511	20921	19941
512	20964	19901
513	21005	19861
514	21040	19815
515	21069	19762
516	21101	19713
517	21134	19665
518	21170	19620
519	21208	19576
520	21241	19529
521	21276	19482
522	21317	19442
523	21352	19396
524	21385	19348
525	21416	19299
526	21457	19258
527	21492	19213
528	21525	19165
529	21562	19121
530	21597	19075
531	21633	19031
532	21667	18984
533	21702	18938
534	21734	18890
535	21764	18840
536	21797	18793
537	21832	18748
538	21868	18703
539	21907	18662
540	21940	18614
541	21984	18577
542	22018	18531
543	22048	18481
544	22081	18434
545	22188	18449
546	22237	18416
547	22264	18364
548	22295	18315
549	22326	18267
550	22358	18219
551	22390	18172
552	22427	18128
553	22460	18081
554	22494	18036
555	22527	17989
556	22595	17971
557	22633	17928
558	22662	17878
559	22705	17839
560	22742	17796
561	22741	17723
562	22778	17680
563	22854	17667
564	22860	17600
565	22903	17562
566	22937	17516
567	22971	17471
568	23003	17424
569	23035	17377
570	23067	17331
571	23100	17284
572	23161	17259
573	23194	17213
574	23233	17172
575	23258	17120
576	23290	17074
577	23318	17025
578	23353	16980
579	23389	16937
580	23419	16889
581	23450	16842
582	23483	16797
583	23512	16748
584	23543	16702
585	23583	16661
586	23618	16617
587	23650	16571
588	23679	16523
589	23709	16475
590	23744	16432
591	23771	16383
592	23800	16335
593	23830	16287
594	23863	16243
595	23894	16197
596	23931	16154
597	23964	16110
598	24013	16075
599	24061	16041
600	24098	15998
601	24140	15959
602	24185	15923
603	24221	15880
604	24263	15841
605	24298	15798
606	24335	15755
607	24374	15715
608	24411	15672
609	24446	15629
610	24480	15585
611	24517	15543
612	24529	15485
613	24571	15446
614	24602	15401
615	24646	15364
616	24688	15325
617	24729	15285
618	24766	15244
619	24803	15202
620	24840	15160
621	24878	15119
622	24922	15081
623	24966	15043
624	25013	15008
625	25065	14975
626	25106	14935
627	25175	14912
628	25215	14872
629	25260	14835
630	25297	14793
631	25337	14753
632	25373	14710
633	25410	14669
634	25452	14630
635	25484	14585
636	25530	14548
637	25568	14507
638	25606	14466
639	25643	14424
640	25671	14377
641	25710	14337
642	25746	14294
643	25779	14250
644	25821	14211
645	25854	14168
646	25895	14128
647	25933	14087
648	25972	14046
649	26014	14007
650	26057	13969
651	26094	13927
652	26134	13887
653	26174	13847
654	26214	13807
655	26253	13766
656	26287	13723
657	26324	13682
658	26363	13641
659	26398	13599
660	26436	13558
661	26473	13516
662	26512	13476
663	26546	13433
664	26587	13393
665	26629	13354
666	26669	13314
667	26716	13278
668	26756	13238
669	26793	13196
670	26829	13154
671	26862	13111
672	26897	13069
673	26933	13026
674	26975	12987
675	27016	12948
676	27053	12907
677	27098	12869
678	27139	12830
679	27192	12796
680	27231	12756
681	27266	12713
682	27303	12672
683	27345	12633
684	27377	12589
685	27414	12548
686	27452	12507
687	27492	12467
688	27532	12427
689	27569	12386
690	27610	12346
691	27645	12304
692	27683	12263
693	27725	12224
694	27761	12183
695	27797	12141
696	27837	12101
697	27837	12044
698	27912	12019
699	27950	11978
700	27989	11938
701	28027	11897
702	28069	11858
703	28117	11822
704	28162	11784
705	28198	11742
706	28236	11702
707	28273	11660
708	28314	11621
709	28359	11583
710	28389	11539
711	28426	11498
712	28465	11458
713	28502	11417
714	28539	11375
715	28575	11334
716	28609	11292
717	28606	11235
718	28643	11194
719	28683	11154
720	28720	11113
721	28755	11072
722	28786	11028
723	28830	10990
724	28860	10947
725	28898	10906
726	28940	10867
727	28978	10826
728	29008	10783
729	29054	10746
730	29090	10705
731	29124	10662
732	29154	10619
733	29186	10577
734	29222	10535
735	29256	10494
736	29287	10451
737	29322	10409
738	29356	10368
739	29386	10324
740	29418	10282
741	29451	10240
742	29484	10198
743	29518	10156
744	29555	10116
745	29588	10074
746	29621	10032
747	29656	9991
748	29688	9948
749	29725	9908
750	29754	9865
751	29788	9823
752	29825	9783
753	29858	9741
754	29894	9700
7755	29962	96707756	29999	96297757	30034	95887758	30065	95467759	30103	95067760	30140	94657761	30170	94237762	30202	93817763	30238	93407764	30268	92987765	30299	92567766	30335	92157767	30368	91737768	30403	91327769	30438	90917770	30474	90517771	30507	90097772	30547	89707773	30587	89317774	30631	88937775	30672	88537776	30718	8816
777	30754	8775
778	30791	8735
779	30830	8695
780	30861	8653
781	30900	8614
782	30938	8574
783	30970	8532
784	31004	8491
785	31039	8450
786	31073	8409
787	31116	8371
788	31152	8330
789	31186	8290
790	31218	8248
791	31254	8208
792	31291	8168
793	31327	8127
794	31362	8087
795	31394	8045
796	31428	8005
797	31461	7963
798	31493	7922
799	31527	7881
800	31561	7841
801	31597	7800
802	31635	7761
803	31673	7721
804	31711	7681
805	31751	7642
806	31786	7602
807	31823	7562
808	31859	7521
809	31891	7480
810	31925	7440
811	31957	7399
812	31999	7360
813	32035	7320
814	32073	7280
815	32106	7239
816	32146	7200
817	32184	7160
818	32220	7120
819	32252	7079
820	32284	7038
821	32320	6998
822	32363	6960
823	32401	6920
824	32438	6880
825	32472	6840
826	32502	6799
827	32539	6759
828	32577	6719
829	32619	6681
830	32666	6643
831	32703	6603
832	32743	6564
833	32780	6524
834	32820	6485
835	32855	6445
836	32896	6406
837	32937	6367
838	32974	6327
839	33011	6287
840	33042	6247
841	33086	6208
842	33123	6168
843	33156	6128
844	33194	6088
845	33225	6048
846	33271	6010
847	33305	5969
848	33348	5931
849	33385	5891
850	33419	5851
851	33458	5812
852	33497	5772
853	33538	5733
854	33580	5694
855	33619	5655
856	33664	5617
857	33709	5578
858	33751	5540
859	33783	5499
860	33824	5460
861	33866	5421
862	33912	5383
863	33954	5344
864	33995	5305
865	34030	5265
866	34073	5226
867	34111	5187
868	34157	5149
869	34195	5109
870	34233	5070
871	34266	5029
872	34302	4990
873	34340	4950
874	34372	4910
875	34405	4870
876	34444	4830
877	34484	4791
878	34519	4751
879	34558	4712
880	34603	4673
881	34642	4634
882	34677	4594
883	34710	4554
884	34741	4514
885	34776	4474
886	34814	4435
887	34849	4395
888	34888	4356
889	34926	4316
890	34964	4277
891	34998	4237
892	35041	4198
893	35080	4159
894	35110	4119
895	35147	4079
896	35180	4039
897	35218	4000
898	35252	3960
899	35284	3920
900	35318	3880
901	35361	3841
902	35401	3802
903	35444	3764
904	35480	3724
905	35526	3686
906	35566	3646
907	35607	3607
908	35644	3568
909	35682	3528
910	35718	3489
911	35762	3450
912	35798	3411
913	35847	3372
914	35892	3334
915	35935	3295
916	35985	3257
917	36031	3218
918	36071	3179
919	36105	3139
920	36144	3100
921	36177	3060
922	36212	3020
923	36245	2981
924	36278	2941
925	36311	2901
926	36348	2862
927	36383	2822
928	36420	2783
929	36450	2743
930	36484	2703
931	36520	2664
932	36558	2625
933	36598	2586
934	36643	2547
935	36686	2508
936	36728	2469
937	36776	2430
938	36815	2391
939	36853	2352
940	36890	2313
941	36924	2273
942	36962	2234
943	36997	2194
944	37032	2155
945	37074	2116
946	37118	2077
947	37167	2038
948	37202	1999
949	37235	1959
950	37270	1920
951	37305	1880
952	37341	1841
953	37382	1802
954	37410	1762
955	37446	1723
956	37485	1684
957	37522	1645
958	37566	1606
959	37603	1566
960	37646	1527
961	37682	1488
962	37720	1449
963	37757	1410
964	37797	1370
965	37829	1331
966	37868	1292
967	37908	1253
968	37942	1213
969	37977	1174
970	38009	1135
971	38050	1096
972	38086	1056
973	38122	1017
974	38160	978
975	38204	939
976	38238	900
977	38270	860
978	38306	821
979	38344	782
980	38385	743
981	38422	704
982	38464	665
983	38498	625
984	38539	586
985	38580	547
986	38618	508
987	38655	469
988	38691	430
989	38730	391
990	38765	352
991	38801	312
992	38833	273
993	38860	234
994	38892	195
995	38930	156
996	38957	117
997	38978	78
998	39002	39
999	39029	0
